League,Total Fixtures,Seasons,Teams,Players,Complete Data,Missing Data,Data Quality %,Missing Statistics,Missing Lineups,Missing Players
J1 League,380,1,20,639,380,0,100.0%,380,380,380
J2 League,383,1,20,0,0,383,0.0%,383,383,383
Canadian Premier League,117,1,8,227,117,0,100.0%,117,117,117
Primera División,321,1,17,0,0,321,0.0%,321,321,321
Erovnuli Liga,184,1,12,0,0,184,0.0%,184,184,184
Meistriliiga,182,1,11,0,0,182,0.0%,182,182,182
Allsvenskan,242,1,17,529,242,0,100.0%,242,242,242
Eliteserien,242,1,17,532,242,0,100.0%,242,242,242
Veikkausliiga,169,1,13,0,0,169,0.0%,169,169,169
Super League,240,1,16,515,240,0,100.0%,240,240,240
Serie A,180,1,20,719,180,0,100.0%,180,180,180
HNL,90,1,10,339,87,3,96.7%,90,90,90
Superliga,102,1,12,349,102,0,100.0%,102,102,102
Premier League,185,1,20,597,185,0,100.0%,185,185,185
La Liga,181,1,20,638,181,0,100.0%,181,181,181
Super Liga,108,1,12,334,108,0,100.0%,108,108,108
Czech Liga,152,1,16,480,148,4,97.4%,152,152,152
NB I,101,1,12,296,66,35,65.3%,101,101,101
FNL,128,1,16,0,0,128,0.0%,128,128,128
Ligue 2,144,1,18,495,144,0,100.0%,144,144,144
Jupiler Pro League,160,1,16,501,157,3,98.1%,160,160,160
Eredivisie,152,1,18,552,152,0,100.0%,152,152,152
Ligue 1,136,1,18,542,136,0,100.0%,136,136,136
First League,152,1,16,399,58,94,38.2%,152,152,152
Super Liga,160,1,16,519,153,7,95.6%,160,160,160
Serie A,140,1,20,638,139,1,99.3%,140,140,140
Bundesliga,135,1,18,492,135,0,100.0%,135,135,135
2. Bundesliga,153,1,18,515,153,0,100.0%,153,153,153
Primeira Liga,144,1,18,527,143,1,99.3%,144,144,144
Serie B,200,1,20,623,200,0,100.0%,200,200,200
Super League 1,112,1,14,400,109,3,97.3%,112,112,112
Superliga,95,1,10,0,0,95,0.0%,95,95,95
A-League,62,1,13,311,62,0,100.0%,62,62,62
Super Cup,1,1,2,0,0,1,0.0%,1,1,1
